obs_id,usable,ourSpeciesID,dorsalImage,lateralImage,Possible
observation_103018287,TRUE ,CW,103018287_1.jpg,103018287_2.jpg,FALSE
observation_10445512,TRUE ,CW,10445512_2.jpg,10445512_1.jpg,FALSE
observation_107213350,FALSE,NA,,,FALSE
observation_10722929,TRUE ,CW,10722929_4.jpg,10722929_3.jpg,FALSE
observation_107359261,FALSE,NA,,,FALSE
observation_107935815,FALSE,NA,,,FALSE
observation_10801335,FALSE,NA,,,FALSE
observation_10801352,FALSE,NA,,,FALSE
observation_108043537,TRUE ,CW,108043537_1.jpg,108043537_3.jpg,FALSE
observation_108045630,FALSE,NA,,,FALSE
observation_108489444,FALSE,NA,,,FALSE
observation_108926666,TRUE ,CW,108926666_2.jpg,108926666_3.jpg,FALSE
observation_108966286,TRUE ,CW,108966286_2.jpg,108966286_5.jpg,FALSE
observation_109060820,FALSE,NA,,,FALSE
observation_109068869,FALSE,NA,,,FALSE
observation_109185879,TRUE ,CW,109185879_1.jpg,109185879_2.jpg ,FALSE
observation_109272260,FALSE,NA,,,TRUE
observation_109484584,FALSE,NA,,,FALSE
observation_109815136,FALSE,NA,,,FALSE
observation_109861133,TRUE ,CW,109861133_1.jpg,109861133_2.jpg,FALSE
observation_110145498,TRUE ,CW,110145498_2.jpg,110145498_3.jpg,FALSE
observation_110200904,FALSE,NA,,,FALSE
observation_110247071,FALSE,NA,,,FALSE
observation_110247475,TRUE ,CW,110247475_1.jpg,110247475_2.jpg,FALSE
observation_110357747,FALSE,NA,,,FALSE
observation_110791841,FALSE,NA,,,FALSE
observation_110861029,FALSE,NA,,,FALSE
observation_110888401,TRUE ,CW,110888401_1.jpg,110888401_2.jpg,FALSE
observation_111148400,FALSE,NA,,,FALSE
observation_11136101,TRUE ,CW,11136101_3.jpg,11136101_1.jpg,FALSE
observation_111381712,FALSE,NA,,,FALSE
observation_111391086,FALSE,NA,,,FALSE
observation_111478217,TRUE ,CW,111478217_3.jpg,111478217_2.jpg,FALSE
observation_11238030,FALSE,NA,,,FALSE
observation_114233476,FALSE,NA,,,FALSE
observation_116184174,FALSE,NA,,,FALSE
observation_119833139,TRUE ,CW,119833139_2.jpg,119833139_3.jpg,FALSE
observation_122616039,TRUE ,CW,122616039_3.jpg,122616039_4.jpg,FALSE
observation_126546652,FALSE,NA,,,FALSE
observation_1265603,TRUE ,CW,1265603_1.jpg,1265603_2.jpg,FALSE
observation_1284985,FALSE,NA,,,FALSE
observation_1320302,FALSE,NA,,,FALSE
observation_132836724,TRUE ,CW,132836724_1.jpg,132836724_2.jpg,FALSE
observation_145921218,FALSE,NA,,,FALSE
observation_146800521,TRUE ,CW,146800521_3.jpg,146800521_1.jpg,FALSE
observation_147249851,FALSE,NA,,,FALSE
observation_147501697,FALSE,NA,,,FALSE
observation_148081571,FALSE,NA,,,FALSE
observation_148091547,FALSE,NA,,,FALSE
observation_148209986,TRUE ,CW,148209986_5.jpg,148209986_3.jpg,FALSE
observation_148340882,TRUE ,CW,148340882_1.jpg,148340882_2.jpg,FALSE
observation_148423040,TRUE ,CW,148423040_1.jpg,148423040_2.jpg,FALSE
observation_148425413,TRUE ,CW,148425413_1.jpg,148425413_2.jpg,FALSE
observation_149447702,FALSE,NA,,,TRUE
observation_149861788,TRUE ,CW,148425413_2.jpg,148425413_5.jpg,FALSE
observation_149932808,FALSE,NA,,,FALSE
observation_150346086,FALSE,NA,,,FALSE
observation_150440251,FALSE,NA,,,FALSE
observation_150541968,TRUE ,CW,150541968_3.jpg,150541968_1.jpg,FALSE
observation_150624909,TRUE ,CW,150624909_1.jpg,150624909_3.jpg,FALSE
observation_150753884,TRUE ,CW,150753884_1.jpg,150753884_2.jpg,FALSE
observation_150753913,FALSE,NA,,,FALSE
observation_150778647,FALSE,NA,,,FALSE
observation_150878758,FALSE,NA,,,FALSE
observation_151179184,TRUE ,CW,151179184_2.jpg,151179184_3.jpg,FALSE
observation_151261640,FALSE,NA,,,TRUE
observation_151328495,FALSE,NA,,,FALSE
observation_151364518,FALSE,NA,,,FALSE
observation_151387621,FALSE,NA,,,FALSE
observation_151550254,TRUE ,CW,151550254_1.jpg,151550254_2.jpg,FALSE
observation_151573067,FALSE,NA,,,FALSE
observation_151615575,TRUE ,CW,151615575_2.jpg,151615575_1.jpg,FALSE
observation_151618370,TRUE ,CW,151618370_2.jpg,151618370_1.jpg,FALSE
observation_151634391,TRUE ,CW,151634391_1.jpg,151634391_2.jpg,FALSE
observation_151641880,FALSE,NA,,,FALSE
observation_151757744,FALSE,NA,,,FALSE
observation_151795128,FALSE,NA,,,FALSE
observation_151835146,FALSE,NA,,,FALSE
observation_151872174,TRUE ,CW,151872174_1.jpg,151872174_2.jpg,FALSE
observation_151879713,FALSE,NA,,,FALSE
observation_151922705,FALSE,NA,,,FALSE
observation_151988076,FALSE,NA,,,FALSE
observation_152002907,FALSE,NA,,,FALSE
observation_152331530,TRUE ,CW,152331530_1.jpg,152331530_2.jpg,TRUE
observation_152372001,TRUE ,CW,152372001_3.jpg,152372001_1.jpg,FALSE
observation_152467980,TRUE ,CW,152467980_1.jpg,152467980_3.jpg,FALSE
observation_152510667,FALSE,NA,,,FALSE
observation_152522535,FALSE,NA,,,FALSE
observation_152537681,TRUE ,CW,152537681_2.jpg,152537681_3.jpg,FALSE
observation_152620160,TRUE ,CW,152620160_1.jpg,152620160_2.jpg,FALSE
observation_152937850,TRUE ,CW,152937850_2.jpg,152937850_1.jpg,FALSE
observation_152967934,FALSE,NA,,,FALSE
observation_152995338,FALSE,NA,,,FALSE
observation_152995756,TRUE ,CW,152995756_1.jpg,152995756_2.jpg,FALSE
observation_153091685,FALSE,NA,,,FALSE
observation_153126138,TRUE ,CW,153126138_1.jpg,153126138_2.jpg,FALSE
observation_153135324,FALSE,NA,,,FALSE
observation_153243428,FALSE,NA,,,FALSE
observation_153247872,TRUE ,CW,153247872_1.jpg,153247872_3.jpg,FALSE
observation_153447545,FALSE,NA,,,FALSE
observation_153517921,TRUE ,CW,153517921_1.jpg,153517921_1.jpg,FALSE
observation_153620047,TRUE ,CW,153620047_1.jpg,153620047_3.jpg,FALSE
observation_153620049,TRUE ,CW,153620049_1.jpg,153620049_2.jpg,FALSE
observation_153628571,FALSE,NA,,,FALSE
observation_153661296,FALSE,NA,,,FALSE
observation_153955435,FALSE,NA,,,FALSE
observation_153986888,TRUE ,CW,153986888_1.jpg,153986888_3.jpg,FALSE
observation_154035890,TRUE ,CW,154035890_2.jpg,154035890_1.jpg,FALSE
observation_154060902,TRUE ,CW,154060902_2.jpg,154060902_1.jpg,FALSE
