obs_id,usable,ourSpeciesID,dorsalImage,lateralImage,Possible
observation_10055744,0,NA,,,
observation_10221442,1,RN,10221442_1.jpg,10221442_2.jpg,
observation_10247768,0,NA,,,
observation_10281261,0,NA,,,
observation_10298060,1,RN,10298060_3.jpg,10298060_1.jpg,
observation_10302009,1,RN,10302009_1.jpg,10302009_2.jpg,
observation_10304763,1,RN,10304763_1.jpg,10304763_4.jpg,
observation_10304771,0,NA,,,
observation_10304856,1,RN,10304856_2.jpg,10304856_3.jpg,
observation_10304978,1,RN,10304978_3.jpg,10304978_4.jpg,
observation_10304992,1,RN,10304992_1.jpg,10304992_2.jpg,
observation_10318656,1,RN,10318656_1.jpg,10318656_2.jpg,1
observation_10324416,0,NA,,,
observation_10324576,0,NA,,,1
observation_10324783,1,RN,10324783_2.jpg,10324783_1.jpg,
observation_10324798,1,RN,10324798_1.jpg,10324798_2.jpg,1
observation_10340712,0,NA,,,
observation_10352589,1,RN,10352589_1.jpg,10352589_2.jpg,
observation_10352642,1,RN,10352642_1.jpg,10352642_2.jpg,
observation_10366258,0,NA,,,
observation_10369953,1,RN,10369953_2.jpg,10369953_1.jpg,
observation_10370078,1,RN,10370078_2.jpg,10370078_3.jpg,
observation_10370082,1,RN,10370082_2.jpg,10370082_1.jpg,
observation_10370155,1,RN,10370155_2.jpg,10370155_1.jpg,
observation_10370231,1,RN,10370231_2.jpg,10370231_3.jpg,1
observation_10370249,1,RN,10370249_5.jpg,10370249_1.jpg,
observation_10370761,1,RN,10370761_4.jpg,10370761_1.jpg,
observation_10371700,1,RN,10371700_4.jpg,10371700_1.jpg,
observation_10372907,0,NA,,,1
observation_10373149,1,RN,10373149_5.jpg,10373149_1.jpg,
observation_10374164,1,RN,10374164_3.jpg,10374164_1.jpg,
observation_10399257,1,RN,10399257_2.jpg,10399257_3.jpg,1
observation_10403094,1,RN,10403094_4.jpg,10403094_1.jpg,
observation_10426271,0,NA,,,1
observation_10436187,1,RN,10436187_2.jpg,10436187_3.jpg,
observation_10458970,0,NA,,,
observation_10459052,0,NA,,,
observation_10459134,1,RN,10459134_5.jpg,10459134_1.jpg,
observation_10466556,1,RN,10466556_1.jpg,10466556_2.jpg,
observation_10466731,1,RN,10466731_2.jpg,10466731_3.jpg,1
observation_10478204,1,RN,10478204_5.jpg,10478204_4.jpg,
observation_10478314,1,RN,10478314_3.jpg,10478314_2.jpg,
observation_10479152,0,NA,,,1
observation_104877241,1,RN,104877241_1.jpg,104877241_5.jpg,
observation_104965681,0,,,,
observation_10500126,1,RN,10500126_1.jpg,10500126_2.jpg,
observation_10500136,1,RN,10500136_1.jpg,10500136_5.jpg,
observation_10504151,1,RN,10504151_1.jpg,10504151_2.jpg,
observation_10515187,1,RN,10515187_2.jpg,10515187_1.jpg,
observation_10518644,0,NA,,,
observation_10549761,0,NA,,,
observation_10571979,0,NA,,,
observation_10573057,0,NA,,,
observation_10577115,1,RN,10577115_1.jpg,10577115_2.jpg,
observation_10596592,1,RN,10596592_1.jpg,10596592_2.jpg,
observation_10596593,1,RN,10596592_1.jpg,10596592_2.jpg,
observation_106660723,0,NA,,,
observation_106724486,0,NA,,,
observation_106807510,0,NA,,,
observation_106858999,1,RN,106858999_2.jpg,106858999_3.jpg,
observation_10689961,1,RN,10689961_3.jpg,10689961_2.jpg,
observation_106931061,1,RN,106931061_1.jpg,106931061_2.jpg,
observation_106951449,1,RN,106951449_2.jpg,106951449_3.jpg,
observation_107012581,0,NA,,,
observation_107018367,0,NA,,,
observation_107052400,0,NA,,,
observation_107122068,1,RN,107122068_1.jpg,107122068_3.jpg,
observation_107130821,1,RN,107130821_1.jpg,107130821_3.jpg,
observation_107234265,0,NA,,,
observation_107279236,0,NA,,,
observation_107338965,0,NA,,,
observation_107355336,1,RN,107355336_2.jpg,107355336_1.jpg,
observation_10737041,0,NA,,,
observation_107394652,0,NA,,,
observation_107425515,1,RN,107425515_1.jpg,107425515_2.jpg,
observation_107433056,0,NA,,,
observation_10745622,1,RN,10745622_1.jpg,10745622_3.jpg,
observation_107488374,0,NA,,,
observation_107496854,1,RN,107496854_2.jpg,107496854_1.jpg,
observation_107507552,0,NA,,,
observation_107517460,0,NA,,,
observation_107525082,0,NA,,,
observation_107531442,0,NA,,,1
